track_name,track_id,duration,track_popularity,disc_number,artist_name,artist_popularity,album_name,album_year,favor,slowcore,grindcore,sludge metal,alternative rock,rock,art rock,shoegaze,k-ballad,k-rap,k-pop,deathcore,death metal,screamo,midwest emo,math rock,thai rock,thai pop,phleng phuea chiwit,t-pop,dream pop,pop punk,emo,punk,alternative metal,nu metal,post-grunge,experimental hip hop,east coast hip hop,jazz rap,alternative hip hop,old school hip hop,hip hop,skate punk,modern blues,blues rock,blues,southern rock,metal,rap metal,anti-folk,folk punk,riot grrrl,kayokyoku,j-pop,k-rock,post-hardcore,mandopop,c-pop,taiwanese pop,j-rock,gospel,japanese indie,post-rock,christian alternative rock,breakcore,speedcore,jungle,hyperpop,space rock,classical,neoclassical,orchestral,classical piano,chamber music,indie,metalcore,christian hip hop,emo rap,horrorcore,cloud rap,trap metal,underground hip hop,indie punk,rockabilly,rock and roll,dubstep,edm,electro,electronic,classic rock,psychedelic rock,rap,west coast hip hop,glam metal,hard rock,r&b
Parking Lot,0T4Gs697qQdHvaNLm24LcO,0.5522214285714285,0.44,1,Mineral,0.38,The Power of Failing,2014,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
If I Could,5SDF77g3UVNoWUTKmFOZ18,0.8547619047619047,0.32,1,Mineral,0.38,The Power of Failing,2014,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Courage Was Confused,2kVc8s89MliCutzKkXXROb,0.5507285714285715,0.32,1,Knapsack,0.26,Day Three of My New Life,1997,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killing A Camera,4pXESY1mSf9tXH6ODOw8PV,0.3661904761904762,0.39,1,Braid,0.38,Frame & Canvas,1998,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red & Blue Jeans,0j3m9AfsZfanscT1uLrVk1,0.41691904761904763,0.37,1,The Promise Ring,0.32,Nothing Feels Good,1997,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seven - Remastered,4mQfmZSNbkpIHua7lsVU7k,0.6818404761904762,0.52,1,Sunny Day Real Estate,0.49,Diary (Remastered and Expanded Edition),1994,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marigold & Patchwork,2MPndJjBcn555aZQyuvt3S,0.8319666666666666,0.3,1,The Appleseed Cast,0.31,The End Of The Ring Wars,1998,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Song About An Angel - Remastered,6xNZDWP5Ca0yV9R653WsnT,0.8924428571428571,0.48,1,Sunny Day Real Estate,0.49,Diary (Remastered and Expanded Edition),1994,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oh Messy Life,5UGOuPyoMT5XHNA75LJlQE,0.2925714285714286,0.45,1,Cap'n Jazz,0.39,Analphabetapolothology,1998,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Never Will Come For Us,4xQ6HrJ6WQsjb8Ega2BMLh,0.502697619047619,0.43,1,Braid,0.38,Frame & Canvas,1998,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
