track_name,track_id,duration,track_popularity,disc_number,artist_name,artist_popularity,album_name,album_year,favor,slowcore,grindcore,sludge metal,alternative rock,rock,art rock,shoegaze,k-ballad,k-rap,k-pop,deathcore,death metal,screamo,midwest emo,math rock,thai rock,thai pop,phleng phuea chiwit,t-pop,dream pop,pop punk,emo,punk,alternative metal,nu metal,post-grunge,experimental hip hop,east coast hip hop,jazz rap,alternative hip hop,old school hip hop,hip hop,skate punk,modern blues,blues rock,blues,southern rock,metal,rap metal,anti-folk,folk punk,riot grrrl,kayokyoku,j-pop,k-rock,post-hardcore,mandopop,c-pop,taiwanese pop,j-rock,gospel,japanese indie,post-rock,christian alternative rock,breakcore,speedcore,jungle,hyperpop,space rock,classical,neoclassical,orchestral,classical piano,chamber music,indie,metalcore,christian hip hop,emo rap,horrorcore,cloud rap,trap metal,underground hip hop,indie punk,rockabilly,rock and roll,dubstep,edm,electro,electronic,classic rock,psychedelic rock,rap,west coast hip hop,glam metal,hard rock,r&b
asian gangsta kidz,0E4MgiPBbiT09qnJTpz71s,0.48238095238095235,0.32,1,ee,0.32,Ramadan,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interlude With A Sledgehammer,4xwUGdIjCWRzKSHIaAYYdK,0.4938238095238095,0.32,1,Phyllomedusa,0.41,Amphibians Performing Surgery III: Murrexic Behaviour,2023,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion,7cSwv1A2yKLUIf7ya0tKxJ,0.6221261904761904,0.75,1,Korea Girl,0.58,The Complete Discography,1999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mellon Collie And The Infinite Sadness - Remastered 2012,5LtIsKctHGXbE1M3U6g7qO,0.4117142857142857,0.49,1,The Smashing Pumpkins,0.74,Mellon Collie And The Infinite Sadness (Deluxe Edition),1995,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
How Can You Be Sure?,5XWQbn983vCOtgVdnt5pqG,0.6236809523809523,0.55,1,Radiohead,0.86,Fake Plastic Trees,1995,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
retrace,27PpsuaGhiPhXW7q07mk5P,0.5495857142857142,0.38,1,ee,0.32,Ramadan,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pulverize That Hoe,2mmUNJHFJ592PvcZYgaieG,0.3977904761904762,0.53,1,Phyllomedusa,0.41,Amphibians Performing Surgery III: Murrexic Behaviour,2023,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sodium Chloride,7aafGSa6JccYOY9kNV9FNB,0.3898785714285714,0.58,1,Panchiko,0.64,D>E>A>T>H>M>E>T>A>L,2000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
square back,01jadB9DBeVrHQ0GtEjc3s,0.4750142857142857,0.24,1,ee,0.32,Ramadan,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
너무 보고싶어,7KpXmNwMOLmyIDeMb70fHI,0.5833333333333334,0.38,1,Acoustic Collabo,0.31,연애의 발견 OST Part 6,2014,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
